bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_lot15,idade_imovel,foi_reformado,zip_baixa,zip_media,zip_alta,zip_muito_alta,price
3.0,2.5,2350.0,5100,2.0,0,0,3,8,0,47.3512,-122.008,5363,11,0,1,0,0,0,390000.0
4.0,2.5,1900.0,5889,2.0,0,0,3,7,0,47.349,-122.031,6405,22,0,1,0,0,0,360000.0
2.0,1.0,2020.0,6720,1.0,0,0,3,7,1010,47.5474,-122.291,6720,66,0,1,0,0,0,355000.0
3.0,1.5,1680.0,8712,1.0,0,0,3,8,0,47.4811,-122.149,8797,51,0,0,1,0,0,356000.0
3.0,1.0,960.0,6634,1.0,0,0,3,6,0,47.7264,-122.31,7203,62,0,0,1,0,0,315000.0
3.0,1.5,2140.0,3600,2.0,0,0,3,9,240,47.6337,-122.365,4800,89,0,0,0,0,1,940000.0
5.0,2.25,2660.0,8400,1.5,0,0,5,7,0,47.2909,-122.189,8165,53,0,1,0,0,0,305000.0
3.0,3.25,2770.0,6278,2.0,0,0,3,9,790,47.5228,-122.199,7349,8,0,1,0,0,0,461000.0
2.0,2.25,1610.0,2040,2.0,0,0,4,7,0,47.518,-122.194,2025,35,0,1,0,0,0,215000.0
2.0,1.75,1030.0,1066,2.0,0,0,3,7,265,47.5394,-122.387,1106,8,0,0,1,0,0,335000.0
4.0,2.5,1980.0,7403,2.0,0,0,3,7,0,47.2897,-122.372,7510,26,0,0,0,0,0,243500.0
5.0,2.75,3520.0,6353,2.0,0,0,4,10,0,47.6506,-122.391,6250,14,0,0,0,0,1,1099880.0
3.0,1.0,1200.0,10500,1.0,0,0,3,7,0,47.322,-122.351,10500,53,0,0,0,0,0,153000.0
3.0,1.5,1580.0,5000,1.0,0,0,3,8,290,47.687,-122.386,4500,75,0,0,1,0,0,430000.0
3.0,1.5,1580.0,5000,1.0,0,0,3,8,290,47.687,-122.386,4500,75,0,0,1,0,0,700000.0
4.0,2.5,3300.0,10250,1.0,0,0,3,7,910,47.5873,-122.249,6045,68,1,0,0,0,1,905000.0
3.0,1.75,1960.0,15681,1.0,0,0,3,7,0,47.3576,-122.277,15616,48,0,0,0,0,0,247500.0
4.0,1.5,1160.0,6400,1.0,0,0,4,7,0,47.3036,-122.378,6400,39,0,0,0,0,0,199000.0
3.0,1.75,1810.0,19160,1.0,0,0,5,7,600,47.4109,-121.958,135036,34,0,1,0,0,0,314000.0
3.0,2.5,2320.0,19160,2.0,0,2,3,9,0,47.4838,-121.714,35065,22,0,0,1,0,0,437500.0
3.0,2.5,2070.0,13241,1.5,0,0,5,9,800,47.6415,-122.315,4500,104,0,0,0,0,1,850830.0
3.0,2.0,1980.0,3478,1.5,0,0,4,7,540,47.6775,-122.372,3478,85,0,0,1,0,0,555000.0
3.0,2.25,2190.0,19160,2.0,0,0,4,8,0,47.7731,-122.08,47777,31,0,0,0,0,1,699950.0
3.0,2.5,2920.0,8113,2.0,0,0,3,8,0,47.5814,-122.196,8113,64,1,0,0,0,1,1088000.0
3.0,1.0,1210.0,19160,1.0,0,0,3,7,0,47.4375,-122.184,14910,60,0,1,0,0,0,290000.0
3.0,2.5,2340.0,10005,1.0,0,0,4,8,880,47.4431,-122.133,8162,37,0,1,0,0,0,375000.0
3.0,1.0,1670.0,4005,1.5,0,0,4,7,500,47.6878,-122.38,4005,75,0,0,1,0,0,460000.0
2.0,1.75,1240.0,2493,1.0,0,0,4,8,0,47.3813,-122.322,4966,29,0,0,0,0,0,188500.0
4.0,2.5,3140.0,19160,2.0,0,0,4,10,0,47.7304,-122.082,35001,24,0,0,0,0,1,680000.0
5.0,1.75,2030.0,12342,2.0,0,0,4,7,0,47.6417,-122.109,9433,72,0,0,0,1,0,470000.0
4.0,2.5,2310.0,9624,2.0,0,0,3,8,0,47.5386,-122.053,9636,30,0,0,0,1,0,597750.0
3.0,1.75,1260.0,3328,1.0,0,0,5,6,560,47.6823,-122.349,3536,110,0,0,0,1,0,570000.0
3.0,1.75,1540.0,12600,1.0,0,0,4,7,380,47.3624,-122.031,11656,34,0,1,0,0,0,272500.0
3.0,1.75,2080.0,5969,1.0,0,2,3,7,1000,47.5474,-122.295,5500,43,0,1,0,0,0,329950.0
4.0,2.5,3230.0,16171,2.0,0,3,3,9,710,47.3183,-122.253,8517,13,0,0,0,0,0,480000.0
3.0,3.5,4234.5,6350,2.0,0,0,3,8,1600,47.6981,-122.368,6350,114,1,0,1,0,0,740500.0
3.0,3.5,1590.0,1102,3.0,0,0,3,8,0,47.6824,-122.347,3166,4,0,0,0,1,0,518500.0
2.0,1.0,880.0,6780,1.0,0,0,4,6,0,47.5009,-122.248,6780,69,0,0,0,0,0,205425.0
4.0,2.0,1570.0,9600,1.0,0,0,3,6,0,47.4965,-122.303,9000,65,0,0,0,0,0,171800.0
4.0,1.0,1610.0,2982,1.5,0,0,4,7,0,47.587,-122.294,4040,90,0,0,1,0,0,535000.0
3.0,2.5,2400.0,6474,1.0,0,2,3,8,840,47.7728,-122.386,10856,51,0,0,0,1,0,660000.0
3.0,2.0,1450.0,9132,1.0,0,0,3,7,0,47.7288,-122.226,9104,27,0,0,1,0,0,391500.0
2.0,1.0,770.0,6000,1.0,0,0,3,6,0,47.6999,-122.364,6000,62,0,0,1,0,0,395000.0
4.0,1.75,2100.0,4400,1.5,0,0,5,7,380,47.5299,-122.266,4400,90,0,1,0,0,0,445000.0
3.0,2.25,2910.0,10204,2.0,0,0,3,9,0,47.6897,-122.098,13992,24,0,0,0,1,0,770000.0
4.0,2.75,2750.0,17789,1.5,0,0,3,8,770,47.6141,-122.212,11275,101,1,0,0,0,1,1450000.0
3.0,2.25,2100.0,8201,1.0,0,2,3,8,480,47.5091,-122.244,8712,47,0,0,0,0,0,445000.0
4.0,2.25,2160.0,8811,1.0,0,0,3,8,800,47.3129,-122.39,8400,36,0,0,0,0,0,260000.0
5.0,3.5,2320.0,4960,2.0,0,0,5,7,600,47.6763,-122.352,4960,88,0,0,0,1,0,822500.0
4.0,2.5,2070.0,4310,2.0,0,0,3,7,0,47.5319,-121.85,3748,11,0,0,1,0,0,430000.0
3.0,1.75,1060.0,7875,1.0,0,0,4,7,0,47.2761,-122.152,7680,29,0,1,0,0,0,212000.0
4.0,2.25,2010.0,9603,1.0,0,0,3,8,570,47.5343,-122.054,9793,29,0,0,0,1,0,660500.0
3.0,3.5,3950.0,19160,1.5,0,0,3,9,1490,47.697,-122.072,88500,25,0,0,0,1,0,784000.0
3.0,2.5,2010.0,2287,2.0,0,0,3,8,620,47.5517,-121.998,1662,0,0,0,0,1,0,453246.0
4.0,3.5,2140.0,2278,3.0,0,0,3,9,0,47.6734,-122.38,2285,10,0,0,1,0,0,675000.0
3.0,1.75,1320.0,17390,1.0,0,0,4,7,0,47.3257,-122.296,19265,58,0,0,0,0,0,199000.0
4.0,1.75,2020.0,7840,1.0,0,0,3,7,1010,47.3309,-122.299,8140,46,0,0,0,0,0,220000.0
4.0,2.25,2590.0,10002,1.0,0,0,4,8,1250,47.7689,-122.266,10436,46,0,0,1,0,0,452000.0
2.0,1.0,1190.0,4440,1.0,0,0,3,6,0,47.7135,-122.287,5715,33,0,0,1,0,0,382500.0
3.0,2.25,1170.0,1249,3.0,0,0,3,8,0,47.6722,-122.381,1310,0,0,0,1,0,0,519950.0
2.0,1.0,1110.0,3200,1.0,0,0,3,7,0,47.6338,-122.358,3600,89,0,0,0,0,1,665000.0
5.0,2.5,2820.0,9375,1.0,0,0,4,8,1270,47.5707,-122.128,9375,46,0,0,0,0,1,527700.0
3.0,1.0,1610.0,8579,1.0,0,0,4,7,600,47.4563,-122.171,8579,53,0,1,0,0,0,205000.0
3.0,1.0,1060.0,8097,1.0,0,0,4,7,120,47.7144,-122.351,7940,92,0,1,0,0,0,420000.0
4.0,2.25,2030.0,8517,1.0,0,0,4,8,650,47.5495,-122.174,8824,54,0,0,0,0,1,500000.0
4.0,2.5,3670.0,19160,2.0,0,0,4,9,0,47.7421,-122.026,87991,20,0,0,0,0,1,921500.0
4.0,1.0,2550.0,4000,2.0,0,0,3,8,180,47.6354,-122.353,4000,109,0,0,0,0,1,890000.0
2.0,2.5,2420.0,19160,2.0,0,0,3,7,0,47.5262,-121.943,193842,7,0,0,0,1,0,430000.0
5.0,2.0,2260.0,12500,1.0,0,0,4,8,1130,47.3887,-122.286,18000,54,0,0,0,0,0,258000.0
3.0,1.0,1430.0,3455,1.0,0,0,3,7,450,47.6873,-122.336,4599,67,0,0,0,1,0,511000.0
3.0,2.0,1360.0,3090,2.0,0,0,3,8,0,47.6838,-122.353,3090,24,0,0,0,1,0,532170.0
3.0,1.0,1110.0,5000,1.5,0,0,3,7,0,47.655,-122.359,5000,68,0,0,1,0,0,560000.0
3.0,1.0,1250.0,8200,1.0,0,0,4,7,0,47.3255,-122.304,8633,61,0,0,0,0,0,282950.0
4.0,3.25,4234.5,19160,2.0,0,3,3,12,1640,47.562,-122.162,9750,9,0,0,0,0,1,2250000.0
1.5,1.0,700.0,5100,1.0,0,0,3,7,0,47.679,-122.3,5100,72,0,0,0,1,0,350000.0
3.0,1.0,1180.0,7669,1.0,0,0,4,7,0,47.4479,-122.176,7669,47,0,1,0,0,0,215000.0
5.0,3.5,3960.0,19160,2.0,0,0,3,9,1460,47.525,-122.172,13675,18,0,1,0,0,0,650000.0
4.0,2.75,2640.0,7500,1.0,0,0,3,8,1020,47.3135,-122.369,7875,47,0,0,0,0,0,320000.0
3.0,2.0,1270.0,7198,1.5,0,0,3,7,0,47.2086,-121.996,7198,98,1,0,0,0,0,247000.0
4.0,1.75,1760.0,11180,1.0,0,0,4,8,0,47.4715,-122.118,11180,46,0,0,1,0,0,320000.0
5.0,2.25,2060.0,8632,1.0,0,0,3,7,1030,47.4877,-122.335,11680,52,0,0,0,0,0,255000.0
3.0,1.75,1780.0,9660,1.0,0,0,3,7,0,47.7171,-122.193,9660,53,0,0,1,0,0,438000.0
3.0,2.5,3400.0,16603,2.0,0,0,3,10,0,47.6012,-122.023,12601,15,0,0,0,0,1,900000.0
3.0,2.75,1910.0,7280,1.0,0,0,3,7,750,47.7319,-122.224,8152,35,0,0,1,0,0,441000.0
3.0,2.0,2020.0,19160,1.0,0,0,4,7,1010,47.4582,-122.023,36590,39,0,0,0,1,0,420000.0
3.0,1.75,1580.0,7000,1.0,0,0,3,7,400,47.7209,-122.168,7500,38,0,0,1,0,0,370000.0
2.0,1.75,1340.0,7250,1.0,0,0,5,5,640,47.408,-122.327,9750,66,0,0,0,0,0,269950.0
4.0,2.5,2680.0,4499,2.0,0,0,3,9,0,47.565,-122.125,4500,16,0,0,0,0,1,807100.0
3.0,2.5,2680.0,9750,1.0,0,0,4,8,1070,47.7028,-122.231,8750,35,0,0,1,0,0,653000.0
3.0,2.0,1370.0,8336,1.0,0,0,5,7,0,47.7458,-122.331,7288,50,0,1,0,0,0,371500.0
3.0,1.75,1560.0,19160,1.0,0,0,3,7,0,47.4776,-122.337,7920,61,0,1,0,0,0,284000.0
3.0,1.75,2160.0,7140,1.0,0,0,4,7,490,47.3026,-122.374,7350,37,0,0,0,0,0,272000.0
3.0,1.5,1340.0,7912,1.5,0,0,3,7,0,47.7658,-122.339,7940,59,0,1,0,0,0,313000.0
4.0,2.5,3880.0,19160,2.0,0,0,3,10,1310,47.6477,-122.182,35230,31,0,0,0,0,1,917500.0
4.0,2.25,2590.0,8190,2.0,0,0,4,8,0,47.5619,-122.125,8335,34,0,0,0,0,1,673000.0
3.0,2.5,1120.0,1100,2.0,0,0,3,8,300,47.6106,-122.31,1795,7,0,0,0,1,0,425000.0
5.0,2.75,1970.0,5400,1.0,0,0,3,7,650,47.5868,-122.308,2150,28,0,0,1,0,0,399950.0
3.0,1.0,1220.0,4800,1.0,0,0,3,6,0,47.6101,-122.307,4800,113,0,0,0,1,0,385000.0
3.0,1.5,1950.0,7560,1.0,0,2,4,7,630,47.1976,-121.999,8941,39,0,0,0,0,0,269950.0
2.0,1.0,1350.0,8220,1.0,0,0,3,7,290,47.7224,-122.358,8280,66,0,0,0,1,0,330000.0
3.0,2.5,1670.0,5797,2.0,0,0,3,7,0,47.3505,-122.179,6183,26,0,0,0,0,0,260000.0
4.0,3.0,2380.0,5125,1.5,0,0,4,7,700,47.5384,-122.376,5375,90,0,1,0,0,0,470000.0
4.0,3.0,2440.0,9600,2.0,0,0,5,7,0,47.7044,-122.2,9600,53,0,0,1,0,0,589000.0
2.0,1.5,1050.0,3419,2.0,0,0,3,7,0,47.3848,-122.039,3417,18,0,1,0,0,0,163500.0
4.0,2.75,3130.0,13412,2.0,0,0,3,9,990,47.6993,-122.102,9984,21,0,0,0,1,0,835000.0
5.0,3.0,4090.0,12850,1.0,0,2,4,10,2000,47.6627,-122.188,10270,28,0,0,0,0,1,1095000.0
4.0,1.75,1490.0,10000,1.0,0,0,4,8,390,47.3099,-122.379,8910,46,0,0,0,0,0,269000.0
3.0,2.5,1900.0,8744,2.0,0,0,3,8,0,47.62,-122.043,8744,27,0,0,0,0,1,560000.0
4.0,1.0,1330.0,2400,1.5,0,0,4,6,0,47.65,-122.34,4400,114,0,0,0,1,0,615000.0
3.0,2.25,2230.0,10026,1.0,0,0,3,8,800,47.6647,-122.153,9340,39,0,0,0,1,0,585188.0
3.0,1.75,1650.0,9480,1.0,0,0,3,7,430,47.726,-122.191,8400,37,0,0,1,0,0,305000.0
3.0,1.0,1190.0,8820,1.0,0,0,3,6,0,47.4616,-122.184,7980,55,0,1,0,0,0,166950.0
3.0,2.5,2140.0,9897,1.0,0,0,4,8,0,47.5505,-122.219,10083,55,0,0,0,0,1,799000.0
3.0,2.5,2180.0,7508,1.0,0,0,4,7,760,47.7606,-122.336,7818,52,0,1,0,0,0,400000.0
3.0,1.0,1060.0,10228,1.0,0,0,3,7,0,47.7481,-122.3,10228,66,0,1,0,0,0,230000.0
3.0,2.5,1690.0,5025,2.0,0,0,3,8,0,47.2779,-122.347,5001,11,0,0,0,0,0,256883.0
4.0,2.0,1970.0,6480,1.5,0,0,5,7,840,47.5511,-122.312,6480,94,0,1,0,0,0,423000.0
3.0,2.5,2150.0,4084,2.0,0,0,3,8,0,47.5488,-122.372,2385,7,0,1,0,0,0,465000.0
3.0,2.5,1910.0,19160,2.0,0,0,3,7,0,47.5385,-121.911,67268,18,0,0,1,0,0,440000.0
3.0,1.75,1350.0,19160,1.0,0,0,4,7,0,47.4058,-121.994,50965,45,0,1,0,0,0,385000.0
3.0,1.0,860.0,11725,1.0,0,0,4,6,0,47.5093,-122.184,9514,72,0,1,0,0,0,210000.0
3.0,2.5,1940.0,14952,2.0,0,0,3,8,0,47.3777,-122.165,10450,20,0,0,0,0,0,297000.0
3.0,1.0,1010.0,5000,1.0,0,0,3,7,0,47.675,-122.394,5000,62,0,0,1,0,0,470000.0
3.0,1.5,1300.0,7370,1.0,0,0,4,7,400,47.3025,-122.37,7500,38,0,0,0,0,0,226500.0
3.0,1.0,910.0,8450,1.0,0,0,4,6,0,47.4787,-122.158,8040,53,0,0,1,0,0,274250.0
4.0,1.75,2480.0,11010,1.0,0,0,4,9,850,47.5378,-122.219,10744,48,0,0,0,0,1,840000.0
3.0,2.5,2440.0,4587,2.0,0,0,3,8,0,47.7073,-122.114,4587,4,0,0,0,1,0,677900.0
3.0,1.0,1010.0,5864,1.0,0,0,3,7,0,47.5733,-122.381,5000,100,0,0,0,1,0,425000.0
2.0,0.75,900.0,9600,1.0,0,0,3,6,0,47.4604,-122.339,14280,73,0,1,0,0,0,180250.0
5.5,3.0,2300.0,3404,2.0,0,0,3,7,700,47.7067,-122.343,1312,94,1,1,0,0,0,464000.0
4.0,2.25,1550.0,7579,2.0,0,0,3,8,0,47.354,-122.047,6397,22,0,1,0,0,0,320000.0
3.0,2.25,1270.0,1566,2.0,0,0,3,8,210,47.6647,-122.284,1327,0,0,0,0,0,1,625504.0
4.0,2.5,2240.0,12032,1.0,0,0,3,9,0,47.6143,-122.017,12368,31,0,0,0,0,1,592500.0
3.0,2.5,2714.0,17936,2.0,0,0,3,9,0,47.3185,-122.275,18386,10,0,0,0,0,0,465000.0
4.0,2.75,1720.0,6270,2.0,0,0,3,8,0,47.5458,-122.268,8700,36,0,1,0,0,0,477000.0
2.0,1.0,850.0,16400,1.0,0,0,3,6,0,47.4889,-122.299,14459,92,0,0,0,0,0,280000.0
5.0,3.0,3300.0,19160,1.0,0,3,3,9,1430,47.5673,-122.21,20953,58,1,0,0,0,1,1505000.0
3.0,2.5,2250.0,5692,2.0,0,0,3,8,0,47.5133,-122.379,5390,14,0,0,0,0,0,445838.0
2.0,2.25,3900.0,14864,1.0,0,3,3,8,1950,47.5884,-122.291,5184,67,0,0,1,0,0,1072000.0
2.0,1.5,1320.0,10800,1.0,0,0,4,8,0,47.7145,-122.367,12040,67,0,0,0,1,0,467000.0
4.0,2.5,2760.0,6440,2.0,0,0,3,10,0,47.5836,-122.026,8127,15,0,0,0,0,1,686000.0
3.0,2.0,1750.0,9750,1.0,0,0,3,7,400,47.398,-122.299,10125,53,0,0,0,0,0,279950.0
4.0,2.25,2330.0,19160,2.0,0,0,3,8,0,47.7663,-122.215,10055,27,0,0,1,0,0,527000.0
3.0,2.25,2220.0,16020,1.0,0,0,4,8,440,47.3758,-122.217,9583,48,0,0,0,0,0,325000.0
3.0,2.25,2020.0,8379,2.0,0,0,3,7,0,47.3828,-122.023,8031,20,0,1,0,0,0,328000.0
3.0,2.25,1250.0,7500,1.0,0,0,5,7,0,47.5123,-122.373,7392,72,0,0,0,0,0,390000.0
2.0,2.0,1510.0,6516,1.0,0,0,3,8,0,47.7076,-122.013,6009,10,0,0,0,1,0,479950.0
4.0,2.25,1720.0,9753,1.0,0,0,4,7,600,47.2922,-122.371,9753,36,0,0,0,0,0,264950.0
3.0,1.0,1430.0,15246,1.0,0,0,4,7,450,47.4075,-122.214,13068,54,0,0,0,0,0,235000.0
